Date,Open,High,Low,Close
12/20/2022,"8.13","8.30","7.84","8.08"
12/19/2022,"7.94","8.40","7.93","8.13"
12/16/2022,"8.06","8.13","7.90","7.93"
12/15/2022,"8.21","8.35","8.14","8.30"
12/14/2022,"8.41","8.75","8.30","8.40"
12/13/2022,"8.45","8.57","8.21","8.29"
12/12/2022,"7.84","8.14","7.83","8.10"
12/09/2022,"8.18","8.24","7.99","8.03"
12/08/2022,"8.12","8.28","8.11","8.19"
12/07/2022,"8.66","8.69","8.08","8.11"
12/06/2022,"8.85","8.88","8.60","8.76"
12/05/2022,"9.05","9.14","8.69","8.82"
12/02/2022,"8.83","9.00","8.79","8.98"
12/01/2022,"8.97","9.18","8.84","8.89"
11/30/2022,"8.88","9.19","8.71","9.05"
11/29/2022,"8.86","8.91","8.51","8.69"
11/28/2022,"8.76","9.00","8.51","8.84"
11/25/2022,"9.24","9.34","8.90","9.03"
11/23/2022,"8.75","9.25","8.75","9.23"
11/22/2022,"8.32","9.18","8.31","8.44"
11/21/2022,"7.95","8.43","7.46","8.28"
11/18/2022,"8.81","8.82","8.01","8.35"
11/17/2022,"9.01","9.09","8.67","8.75"
11/16/2022,"9.22","9.39","8.66","9.20"
11/15/2022,"9.42","9.73","9.28","9.68"
11/14/2022,"8.72","9.03","8.58","8.96"
11/11/2022,"8.94","9.13","8.43","8.87"
11/10/2022,"9.51","9.74","8.90","9.65"
11/09/2022,"10.12","10.27","8.67","8.77"
11/08/2022,"11.43","12.13","10.00","10.56"
11/07/2022,"12.15","12.20","12.01","12.06"
11/04/2022,"12.28","12.69","12.07","12.25"
11/03/2022,"11.72","11.98","11.70","11.82"
11/02/2022,"12.12","12.33","11.74","11.79"
